Mean Degree,Var Degree,Num Edges,Clustering,Components,Diameter,Final size,Net Type
1.1111111111111112,41.49876543209878,133,0.4405620600552437,13,inf,0.73,Demon
9.090909090909092,72.62809917355371,157,0.009333333333333332,9,inf,0.83,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
11.11111111111111,76.09876543209877,144,0.03530952380952381,5,inf,0.78,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,73.5,124,0.019,11,inf,0.72,ER
1.6666666666666667,80.78888888888886,58,0.0,43,inf,0.48,Demon
10.0,67.4,159,0.034246031746031746,7,inf,0.72,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,56.0,156,0.03614285714285715,6,inf,0.73,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
10.0,78.0,159,0.012904761904761903,3,inf,0.92,ER
4.761904761904762,305.2290249433107,19,0.0,82,inf,0.19,Demon
12.5,56.0,155,0.007333333333333334,4,inf,0.75,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,63.5,129,0.02428571428571429,10,inf,0.74,ER
1.5151515151515151,77.49219467401284,64,0.0,37,inf,0.62,Demon
10.0,126.6,131,0.010087301587301587,3,inf,0.79,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
7.6923076923076925,68.82840236686391,163,0.03816089466089466,4,inf,0.82,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,70.0,158,0.016,3,inf,0.84,ER
1.2820512820512822,62.43326758711371,85,0.08225105105105104,25,inf,0.76,Demon
10.0,45.6,154,0.017777777777777778,9,inf,0.78,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,70.0,149,0.023666666666666673,5,inf,0.82,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
14.285714285714286,58.775510204081634,147,0.013999999999999999,4,inf,0.82,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
11.11111111111111,58.5432098765432,140,0.014142857142857145,8,inf,0.73,ER
100.0,0.0,0,0.0,100,inf,0.01,Demon
12.5,85.0,140,0.006666666666666666,6,inf,0.1,ER
