Mean Degree,Var Degree,Num Edges,Clustering,Components,Diameter,Final size,Net Type
12.5,77.25,147,0.03228571428571429,8,inf,0.8,Demon
11.11111111111111,63.65432098765432,168,0.028119047619047627,4,inf,0.88,ER
12.5,63.75,132,0.0,10,inf,0.82,Demon
12.5,83.0,146,0.04128571428571428,5,inf,0.76,ER
11.11111111111111,59.4320987654321,146,0.03766666666666667,9,inf,0.71,Demon
9.090909090909092,92.8099173553719,161,0.011777777777777776,2,inf,0.69,ER
10.0,91.8,134,0.009333333333333332,6,inf,0.74,Demon
11.11111111111111,96.54320987654323,141,0.005476190476190476,6,inf,0.7,ER
9.090909090909092,59.537190082644614,183,0.03361904761904762,3,inf,0.88,Demon
12.5,69.75,140,0.009999999999999998,4,inf,0.84,ER
10.0,120.6,122,0.038142857142857145,8,inf,0.14,Demon
11.11111111111111,90.32098765432099,149,0.039642857142857146,5,inf,0.73,ER
11.11111111111111,63.65432098765432,158,0.01819047619047619,6,inf,0.82,Demon
12.5,103.75,137,0.025809523809523807,4,inf,0.84,ER
12.5,72.0,170,0.026619047619047626,4,inf,0.8,Demon
10.0,69.0,159,0.040523809523809524,4,inf,0.77,ER
12.5,87.0,113,0.03461904761904762,13,inf,0.71,Demon
12.5,78.75,148,0.03,5,inf,0.66,ER
12.5,86.5,155,0.0,3,inf,0.82,Demon
11.11111111111111,70.54320987654322,148,0.02535714285714286,9,inf,0.85,ER
12.5,74.75,175,0.031904761904761915,2,inf,0.86,Demon
10.0,63.8,164,0.017047619047619048,5,inf,0.82,ER
11.11111111111111,44.32098765432099,166,0.0425,9,inf,0.79,Demon
10.0,81.0,161,0.0208968253968254,3,inf,0.84,ER
11.11111111111111,90.32098765432097,130,0.01614285714285714,11,inf,0.84,Demon
12.5,67.75,143,0.0024761904761904764,11,inf,0.8,ER
12.5,74.25,150,0.025952380952380952,7,inf,0.01,Demon
9.090909090909092,69.90082644628097,165,0.0023333333333333335,5,inf,0.81,ER
10.0,75.2,180,0.0335,1,8.0,0.93,Demon
10.0,100.0,137,0.027333333333333334,10,inf,0.08,ER
10.0,53.8,168,0.02465873015873016,3,inf,0.78,Demon
11.11111111111111,55.876543209876544,151,0.03466666666666667,6,inf,0.86,ER
12.5,66.5,131,0.017333333333333333,12,inf,0.73,Demon
14.285714285714286,83.34693877551021,119,0.011333333333333332,12,inf,0.01,ER
9.090909090909092,55.173553719008254,184,0.04597619047619049,6,inf,0.85,Demon
12.5,97.25,137,0.022904761904761903,6,inf,0.63,ER
8.333333333333334,71.72222222222223,163,0.01011111111111111,3,inf,0.92,Demon
12.5,62.25,154,0.03476190476190476,6,inf,0.01,ER
14.285714285714286,45.06122448979592,126,0.02033333333333333,13,inf,0.71,Demon
